Date/Time;Profile;Account;Instrument;Position;Quantity;Average Price;Realized P/L
11/17/2020 8:01:23 AM;CQG;132313;EPZ20;Long;1;3,597.00;$0.00
11/17/2020 7:53:43 AM;CQG;132313;MESZ20;Long;1;3,597.00;$0.00
11/17/2020 7:31:38 AM;CQG;132313;ENQZ20;Flat;0;;$235.00
11/17/2020 7:31:38 AM;CQG;132313;MNQZ20;Flat;0;;-$21.00
11/17/2020 7:15:15 AM;CQG;132313;ENQZ20;Long;1;12,034.50;$0.00
11/17/2020 7:15:15 AM;CQG;132313;MNQZ20;Long;1;12,034.50;$0.00
11/17/2020 7:11:03 AM;CQG;132313;ENQZ20;Flat;0;;$215.00
11/17/2020 7:11:03 AM;CQG;132313;MNQZ20;Flat;0;;-$22.00
11/17/2020 7:02:18 AM;CQG;132313;ENQZ20;Long;1;12,036.50;$0.00
11/17/2020 6:56:29 AM;CQG;132313;MNQZ20;Long;1;12,037.00;$0.00
11/17/2020 6:38:13 AM;CQG;132313;EPZ20;Flat;0;;-$225.00
11/17/2020 6:38:13 AM;CQG;132313;MESZ20;Flat;0;;-$26.25
11/17/2020 5:56:17 AM;CQG;132313;MESZ20;Long;1;3,607.00;$0.00
11/17/2020 5:40:14 AM;CQG;132313;EPZ20;Long;1;3,606.25;$0.00
11/16/2020 2:53:03 AM;CQG;132313;EPZ20;Flat;0;;$237.50
11/16/2020 2:30:59 AM;CQG;132313;GCEZ20;Flat;0;;$560.00
11/16/2020 2:24:57 AM;CQG;132313;EPZ20;Long;1;3,611.25;$0.00
11/16/2020 2:01:22 AM;CQG;132313;ENQZ20;Flat;0;;-$200.00
11/16/2020 2:00:00 AM;CQG;132313;ENQZ20;Long;1;12,013.00;$0.00
11/16/2020 1:45:59 AM;CQG;132313;GCEZ20;Long;1;1,887.20;$0.00
11/16/2020 1:25:01 AM;CQG;132313;ENQZ20;Flat;0;;-$275.00
11/16/2020 1:07:58 AM;CQG;132313;ENQZ20;Long;1;12,019.75;$0.00
11/13/2020 1:11:23 PM;CQG;132313;ENQZ20;Flat;0;;$230.00
11/13/2020 12:56:30 PM;CQG;132313;ENQZ20;Long;1;11,869.75;$0.00
11/12/2020 8:32:16 AM;CQG;132313;EPZ20;Flat;0;;-$25.00
11/12/2020 7:41:18 AM;CQG;132313;GCEZ20;Flat;0;;$270.00
11/12/2020 7:24:46 AM;CQG;132313;EPZ20;Long;1;3,550.00;$0.00
11/12/2020 4:15:53 AM;CQG;132313;GCEZ20;Short;-1;1,868.60;$0.00
11/11/2020 9:57:59 AM;CQG;132313;GCEZ20;Flat;0;;-$290.00
11/11/2020 9:19:23 AM;CQG;132313;GCEZ20;Long;1;1,857.80;$0.00
11/11/2020 8:55:51 AM;CQG;132313;EPZ20;Flat;0;;-$350.00
11/11/2020 8:49:40 AM;CQG;132313;EPZ20;Long;1;3,564.25;$0.00
11/11/2020 8:30:25 AM;CQG;132313;EPZ20;Flat;0;;-$200.00
11/11/2020 8:12:10 AM;CQG;132313;EPZ20;Long;1;3,565.75;$0.00
11/11/2020 5:02:50 AM;CQG;132313;GCEZ20;Flat;0;;-$310.00
11/11/2020 3:02:22 AM;CQG;132313;GCEZ20;Long;1;1,874.80;$0.00
11/10/2020 7:48:14 AM;CQG;132313;ENQZ20;Flat;0;;$155.00
11/10/2020 7:35:12 AM;CQG;132313;EPZ20;Flat;0;;-$312.50
11/10/2020 7:34:40 AM;CQG;132313;ENQZ20;Long;1;11,619.25;$0.00
11/10/2020 7:22:23 AM;CQG;132313;EPZ20;Long;1;3,538.75;$0.00
11/10/2020 3:53:36 AM;CQG;132313;ENQZ20;Flat;0;;$170.00
11/10/2020 3:43:43 AM;CQG;132313;ENQZ20;Long;1;11,728.25;$0.00
11/9/2020 3:21:28 AM;CQG;132313;EPZ20;Flat;0;;$312.50
11/9/2020 3:21:25 AM;CQG;132313;ENQZ20;Flat;0;;$275.00
11/9/2020 2:05:45 AM;CQG;132313;EPZ20;Long;1;3,549.50;$0.00
11/9/2020 2:04:33 AM;CQG;132313;ENQZ20;Long;1;12,304.00;$0.00
11/4/2020 1:22:08 AM;CQG;132313;ENQZ20;Flat;0;;-$210.00
11/4/2020 1:22:04 AM;CQG;132313;ENQZ20;Long;1;11,476.00;$0.00
11/3/2020 11:54:30 AM;CQG;132313;EPZ20;Flat;0;;-$262.50
11/3/2020 11:15:32 AM;CQG;132313;EPZ20;Long;1;3,369.25;$0.00
10/30/2020 6:20:20 PM;CQG;132313;ENQZ20;Flat;0;;$1,585.00
10/30/2020 5:56:05 PM;CQG;132313;ENQZ20;Long;1;10,995.50;$0.00
10/30/2020 5:40:45 PM;CQG;132313;CLEZ20;Flat;0;;$0.00
10/29/2020 1:48:56 PM;CQG;132313;GCEZ20;Flat;0;1,874;-$290.00
10/29/2020 1:10:42 PM;CQG;132313;ENQZ20;Flat;0;;-$310.00
10/29/2020 1:05:34 PM;CQG;132313;EPZ20;Flat;0;;-$187.50
10/29/2020 12:42:02 PM;CQG;132313;EPZ20;Long;1;3,284.25;$0.00
10/29/2020 12:32:49 PM;CQG;132313;ENQZ20;Long;1;11,237.50;$0.00
10/29/2020 12:18:06 PM;CQG;132313;GCEZ20;Long;1;1,876.90;$0.00
10/29/2020 12:11:15 PM;CQG;132313;EPZ20;Flat;0;;-$262.50
10/29/2020 10:45:43 AM;CQG;132313;EPZ20;Long;1;3,287.25;$0.00
10/26/2020 3:37:48 PM;CQG;132313;GCEZ20;Flat;0;;$230.00
10/26/2020 3:25:47 PM;CQG;132313;EPZ20;Flat;0;;$200.00
10/26/2020 3:11:09 PM;CQG;132313;GCEZ20;Long;1;1,904.20;$0.00
10/26/2020 2:44:25 PM;CQG;132313;EPZ20;Long;1;3,416.50;$0.00
10/26/2020 2:43:00 PM;CQG;132313;GCEZ20;Flat;0;;$0.00
10/26/2020 2:43:00 PM;CQG;132313;EPZ20;Flat;0;;$0.00
10/26/2020 2:43:00 PM;CQG;132313;ENQZ20;Flat;0;;$0.00
10/26/2020 10:33:49 AM;CQG;132313;ENQZ20;Flat;0;;$10.00
10/26/2020 10:00:00 AM;CQG;132313;ENQZ20;Long;1;11,558.00;$0.00
10/26/2020 9:48:48 AM;CQG;132313;GCEZ20;Flat;0;;$510.00
10/26/2020 9:48:45 AM;CQG;132313;GCEZ20;Long;1;1,920.30;$0.00
10/26/2020 8:48:31 AM;CQG;132313;ENQZ20;Flat;0;;-$160.00
10/26/2020 8:31:42 AM;CQG;132313;ENQZ20;Long;1;11,609.25;$0.00
10/24/2020 3:11:46 AM;CQG;132313;EPZ20;Flat;0;;$0.00
10/24/2020 3:11:46 AM;CQG;132313;EPU20;Flat;0;;0
10/24/2020 3:11:46 AM;CQG;132313;ENQZ20;Flat;0;;0
10/24/2020 3:11:46 AM;CQG;132313;CLEZ20;Flat;0;;$0.00
10/21/2020 5:04:49 PM;CQG;132313;GCEZ20;Flat;0;;-$300.00
10/21/2020 4:31:35 PM;CQG;132313;GCEZ20;Short;-1;1,928.10;$0.00
10/21/2020 3:22:17 PM;CQG;132313;GCEZ20;Flat;0;;$560.00
10/21/2020 12:25:53 PM;CQG;132313;GCEZ20;Long;1;1,920.30;$0.00
10/15/2020 3:22:17 PM;CQG;132313;GCEZ20;Flat;0;;$340.00
10/13/2020 3:22:16 PM;CQG;132313;GCEZ20;Long;1;1,920.30;$0.00
10/15/2020 3:22:17 PM;CQG;132313;EPZ20;Flat;0;;-$150.00
10/13/2020 3:22:16 PM;CQG;132313;EPZ20;Long;1;1,920.30;$0.00
10/13/2020 3:22:17 PM;CQG;132313;EPZ20;Flat;0;;$525.00
10/13/2020 2:20:53 PM;CQG;132313;EPZ20;Long;1;1,920.30;$0.00
